,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
netDebtToEBITDA,-0.5890764313351652,-0.9067514065430298,-1.5066633761105628,4.038811691423096,6.161890966888576,49.310256583694084,10.4379587416339,-4.544450196449251,12.523525871194039,-3.5361364678729417,-0.7214644221494395,-0.1050050641458474,0.18910481268415882
currentRatio,1.53195552061103,1.3752854605430094,1.8751403705783267,1.1346207931002157,0.8312845221482174,0.8561306219029613,1.0742733187975642,0.9912274160823841,1.5179900397026147,1.8750207358255822,0.973400506021057,1.948572951672163,2.7568047683047974
interestCoverage,72.41884816753927,17.50943396226415,2.665775401069519,0.11678832116788321,-0.3813166312506504,-3.4632463252691195,-3.3566721995875457,-6.029642156986479,-1.8504946176872905,-1.860782170401409,-1552.2952755905512,-5848.558139534884,-148.02217741935485
incomeQuality,1.1701502026543749,2.083167240442109,8.61304347826087,-2.7900232018561484,-2.149186909827055,0.030923829917405936,0.18347374628471183,0.5902113624624857,0.19499727928173038,-3.4857459399573054,0.6715604990245146,0.4495245881663922,0.8282165258410658
dividendYield,,,,,,,,,,,,,
payoutRatio,0,0,0,0,0,0,0,0,0,0,0,0,0
salesGeneralAndAdministrativeToRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0
researchAndDdevelopementToRevenue,0.03774766148633719,0.04817643015067908,0.047279299847793,0.05464236308894133,0.06804677151415285,0.11719552527304983,0.11919889510654942,0.17743340686229075,0.14529339448141482,0.11521055914687688,0.662974040304315,1.0232028671869644,0.7965805523196053
intangiblesToTotalAssets,0.007202020938084481,0.027635157972670646,0.009971619237554652,0.01565186977178,0.011790704479217517,0.014717624325379548,0.01659652923860651,0,0,0.005763509907196319,0.012804817849738375,0,0
capexToOperatingCashFlow,-0.48709589785384405,-0.6970514047142733,-0.5455157327948847,-0.5975051975051975,-1.1056887160942739,67.28911530978996,11.632743541496742,3.1169744842220863,16.91551703088756,-1.0241478483995752,0.8990796035793611,1.7304046727991327,0.3145356251515839
capexToRevenue,-0.0880410498146375,-0.14889545361648365,-0.10280314561136479,-0.05846692163723655,-0.10807916848156408,-0.34709077520223025,-0.2057776910492545,-0.4040632472612008,-0.303244854544022,-0.13122648368807288,-0.5788857270069884,-0.9689290155795576,-0.3443688754882478
capexToDepreciation,-1.9140645850013345,-2.753005839917554,-1.396210163652024,-0.6671309192200557,-1.2201236158964783,-2.494710584271545,-1.5209297021747463,-3.8686433659102204,-4.1817825129025445,-2.490728957514399,-8.299323503902862,-11.696672380164312,-3.7845241457215475
stockBasedCompensationToRevenue,0.019150033144288134,0.03940694498634413,0.05498477929984779,0.03653674017413947,0.03490119968680322,0.039694692063808476,0.047745528227182005,0.048936672413047375,0.048930137858324715,0.04009791924096199,0.12134125094372496,0.14403991343602196,0.1812170218597958
grahamNumber,38.032807030143104,20.698918289394545,6.449769607884585,4.267207365433205,4.065207630020405,5.499842107287936,3.9273776076507856,2.426478915770835,1.3143397507143322,0.5884075203921945,0.6547862998232592,0.7520561079831832,1.1145336327991395
roic,0.24864728828488739,0.15311365671993588,0.05261213720316623,0.0033838084764402335,-0.012803660295253906,-0.07778986613507975,-0.03963515982085008,-0.135823301149732,-0.04988903245116025,-0.03518432399226075,-0.685611791014151,-0.48167719767328276,-0.4886179484022535
returnOnTangibleAssets,0.15392990396966175,0.09135299764955143,0.01336484078407066,-0.025524102807059103,-0.03321284252186782,-0.06947033702676521,-0.03028159051640998,-0.10981370312611986,-0.05026968410143452,-0.0308006658343737,-0.3602188516832542,-0.35659361298931386,-0.3997285550737926
grahamNetNet,-1.9004394861392833,-2.882944557133198,-1.9513888888888888,-6.464030131826742,-6.830631872159508,-7.2945023266850875,-5.527811601438623,-2.6213658913277484,-1.276380114471033,-0.38905036244323304,-0.39324477483100295,-0.11746378319138442,-0.06815751310706998
workingCapital,14208000000,7395000000,12469000000,1436000000,-1685828000,-1104150000,432791000,-24706000,1091491000,590779000,-14340000,181499000,150321000
tangibleAssetValue,45305000000,29866000000,23159000000,7573000000,5962953000,5210583000,5528980000,,,653190000,110433000,,
netCurrentAssetValue,4477000000,-3448000000,-1752000000,-14096000000,-15119702000,-16452530000,-10499155000,-4211948000,-1738884000,-483871000,-464722000,-116565000,56852000
investedCapital,0.12857909806728704,0.2939150021531021,0.5974803149606299,2.2207615593834995,2.808569676532318,2.8593948610912476,1.806916855796374,2.49377929443571,2.752091125467528,0.9096984050845425,3.742309542902967,1.2504095159454574,0.35065781847687494
averageReceivables,2432500000,1913000000,1899500000,1618500000,1431011000,1214190500,1206071000,1040982500,1069802000,981054500,969921000,961269500,959855000
averagePayables,12640000000,10025000000,8038000000,6898000000,6714725500,6207625000,5942670500,5470574000,5401473000,5164484500,5164191000,5040570500,5026975500
averageInventory,9298000000,5757000000,4929000000,4654500000,4435223000,4010268500,3912227000,3517419000,3355337500,3048677500,3012752000,2903541000,2901091000
daysSalesOutstanding,13.226780584812552,12.972985526633597,21.828703703703702,19.662299617544146,16.1403804285935,15.9977930479181,26.026199220243274,15.242670275146594,25.86030448142733,8.902319647021896,23.707653367404223,17.0471058841962,20.97880833276228
daysPayablesOutstanding,91.8687818640796,90.98453390357311,88.67802939050831,67.11273099614803,71.33629915231124,91.48669227278104,125.72489920614716,107.09100528354965,122.56750054495971,71.24727882900065,288.98123380368435,143.6515664542542,122.85485914919838
daysOfInventoryOnHand,77.31912752231517,52.249173235199045,60.100578173934,63.21517382612512,65.23862885691902,86.63675890264783,139.72193579744024,149.36992277396286,150.2540807231022,79.77579156375985,255.75880309716615,128.1480157311405,191.73183123481334
receivablesTurnover,27.59552845528455,28.135389440669105,16.721102863202546,18.563444108761328,22.61408903060203,22.815647064986873,14.024329749850743,23.94593554878229,14.114296305449153,41.00054979738948,15.395872140675062,21.411259041828284,17.398509687034277
payablesTurnover,3.9730580137659786,4.011670822942643,4.116013882002974,5.438610448156988,5.116609697128847,3.9896512917058886,2.9031639898276715,3.408316123595751,2.977950911759942,5.123002674614845,1.2630577951229802,2.540870308687056,2.9709854581879727
inventoryTurnover,4.720694758158735,6.985756470383881,6.073152889539137,5.77393018018018,5.594844747588364,4.2129923213095255,2.6123313989089962,2.4435977017431005,2.429218549296144,4.575322824697742,1.4271258528737003,2.8482688391038695,1.9037005887300251
roe,0.28147369362920543,0.1828149325913412,0.031046119235095614,-0.13025083106678756,-0.19826179613722095,-0.4628954400055508,-0.1420001342335255,-0.8160777781042918,-0.3225148347610534,-0.11094555702122556,-3.1773295910184443,-1.135535271931978,-0.7453730535914377
capexPerShare,-2.424611223799865,-2.709263015551048,-1.1256944444444446,-0.5412429378531074,-0.9068136636856766,-1.6414910089809642,-0.6659043630211078,-0.8501427434829409,-0.5190450579178474,-0.14750281217987904,-0.14856713461078663,-0.1314196872098417,-0.052844829071761905
